93年10月15日每一分鐘指數統計	
時間	加權股價	未含金融	未含電子	綜合平均	工業平均	水泥類	食品類	塑膠類	紡織纖維類	電機機械類	電器電纜類	化學工業類	玻璃陶瓷類	造紙類	鋼鐵類	橡膠類	汽車類	電子類	營造建材類	運輸類	觀光類	金融保險類	百貨貿易類	其它類	
9:00	5,831.07	4,549.60	8,945.60	138.48	165.30	58.16	265.05	139.39	245.81	73.32	50.35	63.19	44.17	156.78	109.32	89.92	130.24	215.08	159.14	96.21	47.55	998.59	68.18	94.14	
9:01	5,817.81	4,541.56	8,904.71	138.21	164.90	57.47	264.62	139.44	243.30	73.12	49.83	62.67	44.13	158.90	107.81	89.03	129.67	215.15	158.06	95.50	47.52	994.39	67.83	93.80	
9:02	5,811.69	4,536.42	8,899.31	137.98	164.75	57.43	264.58	138.94	243.18	73.10	49.82	62.65	44.13	159.34	108.09	89.08	129.70	214.81	158.37	95.94	47.52	993.65	67.53	93.84	
9:03	5,819.86	4,542.06	8,917.89	138.06	164.86	57.57	264.37	139.44	243.84	73.14	50.09	62.67	43.92	159.27	108.23	89.14	129.74	214.95	158.76	96.22	47.52	995.66	67.52	93.84	
9:04	5,819.29	4,541.33	8,916.61	138.04	164.79	57.58	264.20	139.07	244.24	73.19	50.10	62.84	43.69	159.04	108.59	89.20	129.89	214.94	158.88	96.14	47.64	995.80	67.61	93.82	
9:05	5,814.92	4,538.56	8,912.37	137.78	164.41	57.60	263.25	139.22	244.09	73.13	50.30	62.89	43.72	159.00	108.40	89.26	129.89	214.71	158.73	96.13	47.67	994.52	67.66	93.69	
9:06	5,813.63	4,537.81	8,908.94	137.79	164.34	57.48	263.41	139.16	243.83	73.06	50.15	62.88	43.73	159.15	108.29	89.35	130.08	214.71	158.98	96.07	47.64	994.09	67.65	93.78	
9:07	5,804.87	4,529.43	8,896.49	137.56	164.20	57.48	262.58	138.70	243.15	73.02	50.16	62.76	43.73	159.32	107.95	89.21	130.05	214.36	158.86	95.85	47.64	993.88	67.65	93.77	
9:08	5,803.77	4,528.94	8,895.83	137.60	164.07	57.25	263.50	139.08	242.87	73.03	50.17	62.69	43.88	159.27	107.63	89.16	129.69	214.29	158.81	95.73	47.56	993.38	67.69	93.73	
9:09	5,798.55	4,524.64	8,883.20	137.54	163.93	56.91	263.25	138.67	242.63	73.00	49.99	62.70	43.86	159.29	107.41	89.34	129.54	214.22	158.57	95.64	47.59	992.68	67.59	93.62	
9:10	5,802.92	4,526.44	8,890.20	137.59	163.93	56.98	263.20	138.90	242.46	72.99	49.93	62.57	43.86	158.97	107.05	89.12	129.66	214.37	158.42	95.60	47.59	994.77	67.61	93.67	
9:11	5,802.94	4,527.22	8,889.77	137.50	163.83	56.97	263.26	139.05	242.63	72.93	49.92	62.64	43.87	158.87	106.95	89.11	129.93	214.39	158.08	95.62	47.62	994.13	67.60	93.69	
9:12	5,801.33	4,527.40	8,888.06	137.46	163.91	56.95	263.31	139.06	242.91	72.96	49.90	62.60	43.77	158.46	107.02	89.13	130.01	214.31	158.36	96.09	47.59	992.66	67.60	93.69	
9:13	5,806.34	4,532.72	8,892.13	137.59	163.95	56.93	263.46	139.07	243.61	72.99	49.90	62.59	43.89	158.63	107.37	89.11	129.89	214.59	158.60	96.32	47.59	992.33	67.73	93.70	
9:14	5,800.47	4,526.83	8,889.79	137.30	163.73	57.04	263.39	138.84	243.57	73.00	49.93	62.68	43.89	158.34	107.22	89.12	129.66	214.19	158.72	96.51	47.59	992.42	67.73	93.70	
9:15	5,812.35	4,536.08	8,910.33	137.73	164.09	57.30	264.30	139.40	244.02	73.02	49.94	62.74	43.87	158.56	107.45	89.13	130.01	214.57	158.89	96.72	47.62	994.48	67.73	93.78	
9:16	5,814.28	4,537.20	8,914.96	137.83	164.27	57.28	264.22	139.40	244.29	73.01	49.97	62.76	44.00	158.62	107.78	89.18	129.93	214.59	158.95	96.68	47.64	995.13	67.61	93.78	
9:17	5,817.27	4,539.54	8,922.03	137.76	164.13	57.31	264.24	139.58	244.73	73.07	49.97	62.88	44.02	158.97	107.80	89.24	129.90	214.64	159.09	96.81	47.64	995.64	67.69	93.86	
9:18	5,817.04	4,537.16	8,925.09	137.79	164.29	57.35	265.22	139.19	244.17	73.04	50.03	62.84	44.11	159.07	108.08	89.30	129.90	214.53	159.35	96.77	47.64	997.43	67.65	93.91	
9:19	5,825.97	4,543.96	8,939.45	138.01	164.41	57.25	265.27	139.60	244.52	73.08	50.01	62.91	44.14	159.14	108.20	89.42	130.05	214.85	159.57	96.90	47.64	999.11	67.65	93.97	
9:20	5,832.25	4,548.85	8,949.47	138.31	164.79	57.27	265.27	139.77	244.76	73.11	50.17	62.99	44.27	159.22	108.25	89.43	130.05	215.07	159.94	97.11	47.64	1,000.19	67.75	94.09	
9:21	5,831.89	4,547.79	8,955.32	138.31	164.68	57.46	265.47	139.92	245.14	73.13	50.17	63.12	44.27	159.22	108.32	89.47	129.97	214.88	160.12	97.04	47.67	1,000.79	67.75	94.05	
9:22	5,842.52	4,557.12	8,964.47	138.57	164.99	57.45	265.61	140.18	245.40	73.18	50.41	63.14	44.28	158.76	108.44	89.52	129.61	215.47	160.52	97.03	47.69	1,001.74	67.82	94.16	
9:23	5,844.04	4,558.22	8,964.97	138.57	164.94	57.42	264.68	140.00	245.41	73.17	50.41	63.16	44.39	159.28	108.49	89.40	130.20	215.57	160.82	97.05	47.69	1,002.07	67.79	94.28	
9:24	5,840.03	4,554.77	8,956.90	138.63	164.85	57.44	264.98	139.40	245.32	73.21	50.45	63.19	44.28	159.63	108.43	89.44	130.20	215.48	160.92	97.26	47.69	1,001.64	67.82	94.33	
9:25	5,844.57	4,558.63	8,972.74	138.67	165.01	57.67	264.78	140.40	245.22	73.22	50.47	63.17	44.29	159.49	108.44	89.49	130.24	215.40	160.83	97.24	47.67	1,002.16	67.85	94.32	
9:26	5,842.39	4,556.20	8,967.41	138.57	164.99	57.66	265.63	140.09	245.14	73.23	50.43	63.08	44.17	159.77	108.38	89.54	129.88	215.38	160.57	97.16	47.67	1,002.40	67.77	94.31	
9:27	5,849.25	4,561.03	8,980.50	138.70	165.08	57.69	265.65	140.41	245.65	73.21	50.46	63.08	44.29	159.99	108.59	89.44	130.20	215.56	160.87	97.18	47.69	1,004.00	67.80	94.28	
9:28	5,837.94	4,552.54	8,957.07	138.45	164.77	57.68	265.77	139.69	245.59	73.13	50.25	63.08	44.18	159.37	108.33	89.39	129.96	215.31	160.25	96.95	47.64	1,001.79	67.77	94.20	
9:29	5,839.24	4,553.59	8,963.22	138.47	164.90	57.72	265.77	140.08	245.08	73.17	50.25	63.09	44.18	159.68	108.25	89.39	129.96	215.24	160.64	97.00	47.69	1,001.98	67.77	94.24	
9:30	5,843.87	4,557.16	8,967.45	138.64	164.96	57.58	264.86	140.31	245.02	73.18	50.27	63.09	44.18	159.34	108.21	89.41	130.05	215.49	160.59	96.92	47.64	1,002.81	67.77	94.14	
9:31	5,840.32	4,553.50	8,967.74	138.49	164.79	57.61	264.83	140.31	244.72	73.12	50.28	63.09	44.18	159.18	108.38	89.42	130.05	215.21	160.31	96.83	47.64	1,002.95	67.77	94.16	
9:32	5,833.57	4,548.86	8,955.53	138.43	164.78	57.57	265.70	139.83	245.06	73.15	50.24	63.07	44.18	159.35	108.42	89.45	130.20	215.01	160.34	96.63	47.64	1,001.27	67.77	94.19	
9:33	5,833.66	4,549.66	8,951.85	138.33	164.77	57.45	264.86	139.82	245.18	73.17	50.25	63.12	44.18	159.67	108.35	89.38	129.96	215.11	160.08	96.70	47.64	1,000.67	67.73	94.06	
9:34	5,828.61	4,545.15	8,947.52	138.16	164.54	57.34	264.89	139.83	244.91	73.20	50.26	63.04	44.19	159.29	108.14	89.41	129.85	214.83	160.15	96.57	47.79	1,000.29	67.75	94.04	
9:35	5,836.54	4,551.07	8,960.92	138.47	164.75	57.67	264.69	140.35	244.81	73.22	50.24	62.94	44.19	159.35	108.15	89.34	129.85	215.09	160.16	96.64	47.71	1,001.87	67.75	94.05	
9:36	5,830.07	4,546.89	8,948.01	138.34	164.70	57.67	264.64	139.90	244.97	73.20	50.22	62.98	44.18	159.03	108.11	89.38	129.81	214.94	160.06	96.54	47.71	1,000.04	67.74	94.25	
9:37	5,838.09	4,552.46	8,961.97	138.54	164.91	57.57	264.69	140.28	244.43	73.22	50.43	62.99	44.16	159.48	108.32	89.46	129.81	215.19	160.15	96.60	47.71	1,001.98	67.81	94.24	
9:38	5,838.75	4,554.56	8,958.17	138.56	164.95	57.50	264.69	140.34	244.16	73.23	50.44	62.98	44.17	159.62	108.12	89.48	129.70	215.34	160.28	96.75	47.78	1,000.77	68.15	94.17	
9:39	5,836.44	4,550.49	8,963.11	138.43	164.96	57.60	264.63	140.27	244.67	73.21	50.29	63.07	44.17	159.62	108.06	89.46	129.70	215.03	160.56	96.71	47.72	1,002.27	68.15	94.21	
9:40	5,835.58	4,550.80	8,957.71	138.43	164.84	57.47	264.63	140.04	244.80	73.20	50.48	63.05	44.04	159.55	108.10	89.41	129.97	215.11	160.91	96.77	47.72	1,001.31	68.13	94.20	
9:41	5,840.50	4,555.13	8,965.90	138.59	165.05	57.46	264.63	140.34	244.95	73.25	50.48	63.09	44.06	159.55	108.09	89.40	129.96	215.27	161.11	97.00	47.72	1,001.73	68.18	94.35	
9:42	5,840.43	4,555.41	8,966.41	138.55	164.96	57.57	265.59	140.36	245.07	73.23	50.48	63.04	44.06	159.62	108.12	89.45	129.96	215.25	161.05	97.05	47.72	1,001.45	68.13	94.40	
9:43	5,841.75	4,555.10	8,972.18	138.64	165.08	57.47	265.59	140.36	245.53	73.24	50.49	63.14	44.06	159.55	108.12	89.37	130.08	215.20	161.00	97.10	47.72	1,002.79	68.19	94.39	
9:44	5,841.98	4,555.00	8,972.48	138.63	165.15	57.58	265.59	140.35	245.53	73.26	50.46	63.12	44.19	159.63	107.95	89.45	129.85	215.21	161.17	97.17	47.72	1,003.06	68.19	94.33	
9:45	5,838.56	4,551.74	8,965.85	138.52	165.01	57.46	264.67	139.96	245.51	73.25	50.48	63.09	44.19	159.55	107.92	89.43	130.08	215.12	161.13	97.33	47.72	1,002.97	67.85	94.24	
9:46	5,844.78	4,556.69	8,977.14	138.49	165.05	57.66	264.73	140.36	245.68	73.26	50.51	63.11	44.17	159.38	108.16	89.44	129.85	215.30	161.30	97.36	47.65	1,003.95	67.83	94.26	
9:47	5,846.67	4,557.83	8,981.53	138.63	165.10	57.66	264.78	140.51	245.68	73.27	50.53	63.13	44.29	159.87	107.95	89.47	129.97	215.33	161.32	97.48	47.65	1,004.56	67.80	94.26	
9:48	5,847.53	4,557.99	8,985.81	138.57	164.96	57.67	264.78	140.51	246.27	73.27	50.52	63.14	44.31	159.80	108.21	89.37	129.96	215.28	161.27	97.48	47.65	1,005.13	67.80	94.29	
9:49	5,852.38	4,562.19	8,992.51	138.70	165.17	57.68	265.65	140.66	246.46	73.31	50.54	63.16	44.32	159.89	108.25	89.50	130.08	215.48	161.77	97.56	47.65	1,005.62	67.81	94.35	
9:50	5,850.48	4,560.61	8,987.06	138.68	165.10	57.81	264.83	140.42	246.22	73.31	50.51	63.13	44.20	159.95	108.25	89.40	129.85	215.48	161.78	97.56	47.62	1,005.38	67.84	94.27	
9:51	5,846.87	4,557.24	8,986.99	138.52	165.11	57.81	264.92	140.43	246.11	73.32	50.68	63.11	44.18	159.18	108.26	89.36	129.85	215.20	161.96	97.64	47.72	1,005.22	67.81	94.21	
9:52	5,850.04	4,559.88	8,988.37	138.57	165.05	57.81	265.70	140.43	246.17	73.31	50.69	63.08	44.19	159.24	108.29	89.45	129.85	215.41	161.89	97.57	47.72	1,005.62	67.82	94.16	
9:53	5,849.66	4,558.93	8,991.66	138.63	164.94	57.82	264.98	140.59	245.83	73.35	50.55	63.09	44.32	159.24	108.28	89.38	129.85	215.29	161.70	97.64	47.72	1,006.10	67.87	94.15	
